ID,Title,Author,Genre,SubGenre,Publisher
101,Down and Out in Paris & London,"Orwell, George",nonfiction,autobiography,Penguin
102,Identity & Violence,"Sen, Amartya",philosophy,philosophy,Penguin
103,Beyond the Three Seas,"Dalrymple, William",nonfiction,history,Random House
104,"World's Greatest Short Stories, The",,fiction,classic,Jaico
105,Talking Straight,"Iacoca, Lee",nonfiction,autobiography,Jaico
106,"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,classic,Vintage
107,"Phantom of Manhattan, The","Forsyth, Frederick",fiction,classic,Vintage
108,Ashenden of The British Agent,"Maugham, William S",fiction,classic,Vintage
109,Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,autobiography,Vintage
110,"Great War for Civilization, The","Fisk, Robert",nonfiction,history,HarperCollins
111,We the Living,"Rand, Ayn",fiction,novel,Penguin
112,"Artist and the Mathematician, The","Aczel, Amir",science,mathematics,HighStakes
113,History of Western Philosophy,"Russell, Bertrand",philosophy,philosophy,Routledge
114,Selected Short Stories,,fiction,classic,Jaico
115,Rationality & Freedom,"Sen, Amartya",science,economics,Springer
116,Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",nonfiction,history,Simon&Schuster
117,Uncommon Wisdom,"Capra, Fritjof",nonfiction,anthology,Fontana
118,One,"Bach, Richard",nonfiction,autobiography,Fontana
119,Karl Marx Biography,,nonfiction,autobiography,Dell
120,To Sir With Love,Braithwaite,fiction,classic,Penguin
121,Half A Life,"Naipaul, V S",fiction,novel,Routledge
122,"Discovery of India, The","Nehru, Jawaharlal",nonfiction,history,Jaico
123,Apulki,"Deshpande, P L",nonfiction,misc,Springer
124,Unpopular Essays,"Russell, Bertrand",philosophy,philosophy,Simon&Schuster
125,"Deceiver, The","Forsyth, Frederick",fiction,novel,Fontana
126,Veil: Secret Wars of the CIA,"Woodward, Bob",nonfiction,history,Fontana
127,Char Shabda,"Deshpande, P L",nonfiction,misc,Dell
128,Rosy is My Relative,"Durrell, Gerald",fiction,novel,Penguin
129,"Moon and Sixpence, The","Maugham, William S",fiction,classic,Routledge
130,Political Philosophers,,philosophy,politics,Jaico
131,"Short History of the World, A","Wells, H G",nonfiction,history,Springer
132,"Trembling of a Leaf, The","Maugham, William S",fiction,novel,Simon&Schuster
133,Doctor on the Brain,"Gordon, Richard",fiction,novel,Fontana
134,Simpsons & Their Mathematical Secrets,"Singh, Simon",science,mathematics,Fontana
135,Pattern Classification,"Duda, Hart",tech,data_science,Dell
136,From Beirut to Jerusalem,"Friedman, Thomas",nonfiction,history,Penguin
137,"Code Book, The","Singh, Simon",science,mathematics,Routledge
138,"Age of the Warrior, The","Fisk, Robert",nonfiction,history,Jaico
139,Final Crisis,,fiction,comic,Springer
140,"Killing Joke, The",,fiction,comic,Simon&Schuster
141,Flashpoint,,fiction,comic,Fontana
142,Batman Earth One,,fiction,comic,Fontana
143,Crisis on Infinite Earths,,fiction,comic,Dell
144,"Numbers Behind Numb3rs, The","Devlin, Keith",science,mathematics,Penguin
145,Superman Earth One - 1,,fiction,comic,Routledge
146,Superman Earth One - 2,,fiction,comic,Jaico
147,Justice League: Throne of Atlantis,,fiction,comic,Springer
148,Justice League: The Villain's Journey,,fiction,comic,Simon&Schuster
149,"Death of Superman, The",,fiction,comic,Fontana
150,History of the DC Universe,,fiction,comic,Fontana
151,Batman: The Long Halloween,,fiction,comic,Dell
152,"Life in Letters, A","Steinbeck, John",nonfiction,autobiography,Penguin
153,"Information, The","Gleick, James",science,mathematics,Routledge
154,"Journal of Economics, vol 106 No 3",,science,economics,Jaico
155,Elements of Information Theory,"Thomas, Joy",tech,signal_processing,Springer
156,Power Electronics - Rashid,"Rashid, Muhammad",tech,computer_science,Simon&Schuster
157,Power Electronics - Mohan,"Mohan, Ned",tech,computer_science,Fontana
158,Neural Networks,"Haykin, Simon",tech,data_science,Fontana
159,"Grapes of Wrath, The","Steinbeck, John",fiction,classic,Dell
160,Vyakti ani Valli,"Deshpande, P L",nonfiction,misc,Penguin
161,Statistical Learning Theory,"Vapnik, Vladimir",tech,data_science,Routledge
162,Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",nonfiction,history,Jaico
163,Empire of the Mughal - Brothers at War,"Rutherford, Alex",nonfiction,history,Springer
164,Empire of the Mughal - Ruler of the World,"Rutherford, Alex",nonfiction,history,Simon&Schuster
165,Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",nonfiction,history,Fontana
166,Empire of the Mughal - Raiders from the North,"Rutherford, Alex",nonfiction,history,Fontana
167,Mossad,"Baz-Zohar, Michael",nonfiction,history,Dell
168,Jim Corbett Omnibus,"Corbett, Jim",nonfiction,history,Penguin
169,20000 Leagues Under the Sea,"Verne, Jules",fiction,novel,Routledge
170,Batatyachi Chal,Deshpande P L,fiction,novel,Jaico
171,Hafasavnuk,Deshpande P L,fiction,novel,Springer
172,Urlasurla,Deshpande P L,fiction,novel,Simon&Schuster
173,Pointers in C,"Kanetkar, Yashwant",tech,computer_science,Fontana
174,"Cathedral and the Bazaar, The","Raymond, Eric",tech,computer_science,Fontana
175,Design with OpAmps,"Franco, Sergio",tech,computer_science,Dell
176,Think Complexity,"Downey, Allen",tech,data_science,Penguin
177,"Devil's Advocate, The","West, Morris",fiction,novel,Routledge
178,Ayn Rand Answers,"Rand, Ayn",philosophy,objectivism,Jaico
179,Philosophy: Who Needs It,"Rand, Ayn",philosophy,objectivism,Springer
180,"World's Great Thinkers, The",,science,physics,Simon&Schuster
181,Data Analysis with Open Source Tools,"Janert, Phillip",tech,data_science,Fontana
182,Broca's Brain,"Sagan, Carl",science,physics,Fontana
183,Men of Mathematics,"Bell, E T",science,mathematics,Dell
184,Oxford book of Modern Science Writing,"Dawkins, Richard",science,science,Penguin
185,"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",nonfiction,legal,Routledge
186,"Arthashastra, The",Kautiyla,philosophy,philosophy,Jaico
187,We the People,Palkhivala,philosophy,philosophy,Springer
188,We the Nation,Palkhivala,philosophy,philosophy,Simon&Schuster
189,"Courtroom Genius, The",Sorabjee,nonfiction,autobiography,Fontana
190,Dongri to Dubai,"Zaidi, Hussain",nonfiction,history,Fontana
191,"History of England, Foundation","Ackroyd, Peter",nonfiction,history,Dell
192,City of Djinns,"Dalrymple, William",nonfiction,history,Penguin
193,India's Legal System,Nariman,nonfiction,legal,Routledge
194,More Tears to Cry,"Sassoon, Jean",fiction,novel,Jaico
195,"Ropemaker, The","Dickinson, Peter",fiction,novel,Springer
196,Angels & Demons,"Brown, Dan",fiction,novel,Simon&Schuster
197,"Judge, The",,fiction,novel,Fontana
198,"Attorney, The",,fiction,novel,Fontana
199,"Prince, The",Machiavelli,fiction,classic,Dell
200,Eyeless in Gaza,"Huxley, Aldous",fiction,novel,Penguin
201,Tales of Beedle the Bard,"Rowling, J K",fiction,novel,Routledge
202,Girl with the Dragon Tattoo,"Larsson, Steig",fiction,novel,Jaico
203,Girl who kicked the Hornet's Nest,"Larsson, Steig",fiction,novel,Springer
204,Girl who played with Fire,"Larsson, Steig",fiction,novel,Simon&Schuster
205,Batman Handbook,,fiction,comic,Fontana
206,Murphy's Law,,philosophy,psychology,Fontana
207,Structure and Randomness,"Tao, Terence",science,mathematics,Dell
208,Image Processing with MATLAB,"Eddins, Steve",tech,signal_processing,Penguin
209,Animal Farm,"Orwell, George",fiction,classic,Routledge
210,"Idiot, The","Dostoevsky, Fyodor",fiction,classic,Jaico
211,"Christmas Carol, A","Dickens, Charles",fiction,classic,Springer
