listing_id,host_id,host_name,borough,neighbourhood,latitude,longitude,accomodation_type,price_per_night,minimum_nights,number_of_positive_reviews,positive_reviews_per_month
28907,124352,Lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,0.19
29012,124797,Fernando And Lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,0.33
29013,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,0.58
29455,126607,Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,1.42
29628,127608,Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,2.35
29683,125857,Uli,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,0.66
30031,129352,Sol,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,1.86
30927,120335,Cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,0.29
31130,117287,Lara,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,0.45
31555,135619,Tom,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,0.25
31902,137292,Sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,0.02
31994,137814,Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,3.89
32023,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,2.09
32037,116599,Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,0.77
32100,138579,Ali+Scott,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,0.03
32289,139612,Elisabeth,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,0.1
32331,139874,Sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,0.04
32363,140025,Fredah,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,0.01
32965,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,1.72
32969,142833,Katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,0.11
33009,143027,Ming,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,2.19
33014,143048,Paula,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,0.28
33223,72014,Lulú,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,1.86
34760,149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,1.05
35526,120291,Karen,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,0.74
36121,62165,Michael,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,0.09
36133,142684,White,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,1.61
36442,137432,Paz,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,0.05
36647,157798,Irene,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,0.32
36703,158284,Karene,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,1.24
36934,159370,Viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,0.25
38638,92788,Sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,1.16
38663,165789,Sarah,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,0.27
39267,168417,Marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,2.6
39282,168525,Gus,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,1.86
39593,110506,Myung,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,0.26
39704,170510,Renée,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,2.86
40039,171851,Henry,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,0.13
40453,174025,Sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,0.08
41348,180083,Syl,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,2.17
41513,181167,Lorenzo,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,0.04
42580,137814,Waldemar,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,3.47
42729,11481,Annette,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,1.4
42882,185978,Newyorkroomwithaview,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,1.66
43957,177536,Tessa,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,0.94
44096,190409,Waundell,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,2.04
44161,193360,Young,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,1.78
44212,72062,Bruce,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,0.78
44221,193722,Coral,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,1.06
44229,181376,Carol,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,2
44288,193637,Sara,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,0.8
44506,126607,Laurine,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,0.75
45393,201297,Myrna,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,0.36
45542,202249,Campbell,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,1.79
45556,67778,Doug,Brooklyn,Fort Greene,40.68863,-73.97691,Private room,65,2,206,1.92
45910,204539,Mark,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,0.11
45936,867225,Rahul,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,1.18
45940,204724,Miyoung,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,0.58
46544,8198,Monica,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,0.5
46723,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,3,126,1.17
46911,210746,Kathleen R.,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,0.48
47199,212722,Teresa,Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,3,199,1.85
47362,214148,Robert,Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,175,26,30,0.29
47370,214287,Alex,Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,125,3,3,0.03
47926,218404,Claudia,Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,0.38
48719,221873,Shane,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,2,109,1.04
50447,9744,Laurie,Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,135,5,151,1.43
51485,236655,Erina,Manhattan,Lower East Side,40.72319,-73.99201,Private room,83,1,285,2.69
51572,237329,Lee,Manhattan,Chelsea,40.74859,-73.99671,Private room,123,1,375,3.52
51850,27848,Jullett,Queens,Jamaica,40.67252,-73.76597,Private room,55,2,52,0.49
53137,240360,Marlaine,Manhattan,Hell's Kitchen,40.76244,-73.99271,Entire home/apt,195,5,10,1.01
53196,247432,Charlotte,Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,Private room,80,2,11,0.48
53469,204539,Mark,Queens,Middle Village,40.71722,-73.87856,Entire home/apt,98,30,33,0.31
53470,204539,Mark,Queens,Ridgewood,40.70234,-73.89816,Private room,140,7,6,0.06
53477,204539,Mark,Queens,Middle Village,40.71546,-73.87854,Entire home/apt,265,7,38,0.38
54158,10889,Bob,Brooklyn,Williamsburg,40.7195,-73.95976,Entire home/apt,249,2,358,3.44
54453,255583,Anka,Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,105,6,10,0.09
54508,210746,Kathleen R.,Brooklyn,Prospect Heights,40.6787,-73.97262,Private room,100,2,226,2.12
54544,256161,Wayne,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,121,1,104,1
54626,190409,Waundell,Bronx,Highbridge,40.83075,-73.93058,Private room,45,1,138,1.45
54860,258164,Jenny,Manhattan,East Harlem,40.79958,-73.94275,Private room,100,5,204,1.92
55467,260709,Paul,Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,140,2,253,3.04
55498,262138,Tami,Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,71,2,23,0.22
55668,88209,Jason,Manhattan,NoHo,40.72773,-73.99134,Private room,130,2,115,1.17
55737,263414,Pete,Manhattan,West Village,40.72861,-74.0049,Entire home/apt,199,5,129,1.22
55959,168525,Gus,Brooklyn,Williamsburg,40.70979,-73.95162,Private room,69,4,82,1.13
55982,264928,Sally,Brooklyn,Fort Greene,40.68656,-73.97525,Private room,68,3,37,0.35
56467,267593,Leonardo,Manhattan,East Village,40.72752,-73.98432,Entire home/apt,130,1,204,2.04
56525,268014,Alex,Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,195,2,69,0.65
56859,256161,Wayne,Manhattan,Harlem,40.81219,-73.94499,Private room,64,1,192,1.84
57166,272006,Vasili,Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140,2,17,0.16
57297,199392,S.M.,Brooklyn,Cobble Hill,40.68926,-73.99386,Entire home/apt,159,2,222,2.12
57468,239208,Ori,Manhattan,East Village,40.72821,-73.98701,Entire home/apt,189,3,205,1.96
57618,274557,Ana,Manhattan,Hell's Kitchen,40.7672,-73.98508,Entire home/apt,250,3,94,0.96
57740,275459,I,Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,3,7,0.07
57754,275578,R,Manhattan,Flatiron District,40.7403,-73.98498,Entire home/apt,305,2,108,1.09
57874,276291,Simon,Manhattan,Harlem,40.80931,-73.94343,Entire home/apt,155,3,222,2.1
58059,277379,Agnes,Manhattan,Harlem,40.8251,-73.94287,Private room,60,1,458,4.58
58062,277394,Linda,Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,135,2,21,0.26
58467,279797,Dave,Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,120,7,17,0.3
59014,282927,Drica,Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,150,3,41,0.39
59121,204539,Mark,Queens,Ridgewood,40.70411,-73.89934,Entire home/apt,140,14,1,0.01
59642,274782,Betty,Brooklyn,Greenpoint,40.73401,-73.95967,Entire home/apt,135,2,69,0.67
59709,186084,Ricardo & Ashlie,Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,250,4,18,0.18
59855,288031,Leslie,Manhattan,Midtown,40.7589,-73.96991,Entire home/apt,250,30,82,0.78
60164,289653,Harrison,Manhattan,SoHo,40.72003,-74.00262,Entire home/apt,500,4,94,0.99
60457,99212,Jessica,Manhattan,Greenwich Village,40.73194,-73.99474,Entire home/apt,225,5,10,0.1
60611,292204,Blanca,Manhattan,East Harlem,40.79163,-73.94573,Entire home/apt,125,28,183,1.83
60666,256161,Wayne,Manhattan,Harlem,40.8118,-73.94434,Private room,92,1,189,1.82
60673,249372,Cynthia,Manhattan,Harlem,40.81583,-73.94707,Private room,175,2,1,0.11
60680,292630,Mich,Manhattan,East Village,40.72654,-73.98049,Entire home/apt,99,2,127,1.22
60794,293394,Rachel,Manhattan,Upper West Side,40.80021,-73.96071,Entire home/apt,195,4,4,0.04
60948,126607,Laurine,Manhattan,East Harlem,40.80942,-73.93936,Entire home/apt,140,3,135,1.3
61167,295760,Greta,Manhattan,Little Italy,40.71961,-73.9954,Entire home/apt,135,2,21,0.2
61224,291112,Frank,Manhattan,Chelsea,40.74358,-74.00027,Entire home/apt,500,2,35,0.34
61406,297176,Bethania,Manhattan,Harlem,40.80335,-73.9575,Private room,80,14,10,2.21
61492,297769,Tunji,Manhattan,Chinatown,40.71445,-73.9908,Private room,120,4,171,1.8
61509,23619,Anna/Fonzy,Manhattan,Midtown,40.75749,-73.96897,Entire home/apt,110,200,92,0.9
62095,281764,Colette&Sean,Brooklyn,East Flatbush,40.64446,-73.9503,Entire home/apt,65,3,238,2.3
62427,303882,Brie,Manhattan,East Village,40.7268,-73.99079,Entire home/apt,130,50,56,0.58
62430,197755,Sheila,Brooklyn,Bushwick,40.688,-73.9171,Entire home/apt,99,3,111,2.13
62452,303939,Lissette,Staten Island,Tompkinsville,40.63536,-74.08537,Private room,36,2,193,1.85
62461,303939,Lissette,Staten Island,Tompkinsville,40.63627,-74.08543,Private room,37,2,147,1.44
62787,303939,Lissette,Staten Island,Tompkinsville,40.63518,-74.08546,Private room,37,2,177,1.71
62891,306545,Olivia,Manhattan,East Village,40.72477,-73.98161,Entire home/apt,175,3,185,1.78
62903,306605,Daniel,Manhattan,Chelsea,40.74238,-73.99567,Entire home/apt,205,9,62,0.7
62925,306739,Maya,Brooklyn,Greenpoint,40.72945,-73.95511,Entire home/apt,285,3,124,1.22
63299,308875,Scott,Brooklyn,Williamsburg,40.70763,-73.95177,Private room,59,2,181,1.77
63320,303939,Lissette,Staten Island,Tompkinsville,40.63481,-74.08519,Private room,36,2,333,3.19
63360,307962,Dennis & Naoko,Queens,Astoria,40.75384,-73.91433,Entire home/apt,99,5,441,4.5
63546,308652,Antonín,Brooklyn,Kensington,40.64106,-73.97426,Private room,39,1,45,0.46
63573,310458,Emily,Brooklyn,Park Slope,40.66793,-73.98327,Private room,60,14,9,0.09
63610,310670,Vie,Bronx,Eastchester,40.88057,-73.83572,Entire home/apt,105,2,38,0.5
63657,170510,Renée,Brooklyn,Bedford-Stuyvesant,40.68236,-73.94314,Entire home/apt,135,2,248,2.39
63693,306545,Olivia,Manhattan,East Village,40.72185,-73.98246,Entire home/apt,390,5,143,1.38
63719,311286,Helene,Brooklyn,Bedford-Stuyvesant,40.68503,-73.95385,Private room,70,3,36,0.41
64000,312722,Kristian & Di,Brooklyn,Williamsburg,40.7069,-73.95467,Private room,60,17,14,0.14
64107,313317,Niya,Brooklyn,Crown Heights,40.6778,-73.94339,Private room,100,3,279,2.69
64277,311286,Helene,Brooklyn,Bedford-Stuyvesant,40.68317,-73.94701,Private room,70,4,18,0.22
64314,314256,Debbie,Brooklyn,Crown Heights,40.6761,-73.9529,Private room,110,6,50,3.55
64365,314582,Anthony,Brooklyn,Crown Heights,40.67586,-73.95155,Private room,60,2,227,2.27
64707,7310,Tilly,Manhattan,Little Italy,40.71702,-73.99811,Entire home/apt,90,14,1,0.16
64837,46978,Edward,Manhattan,East Village,40.72321,-73.98157,Private room,68,2,203,1.96
65019,317809,Claire,Manhattan,Upper West Side,40.77956,-73.98098,Entire home/apt,115,2,210,2.1
65268,319092,Juhli,Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264,Private room,75,5,64,0.67
65562,320450,Mary D,Manhattan,East Village,40.72956,-73.98158,Entire home/apt,129,7,5,0.15
65615,320761,Valerie,Brooklyn,Williamsburg,40.71069,-73.95175,Entire home/apt,130,10,49,0.48
65660,320538,Larissa,Brooklyn,Williamsburg,40.70863,-73.94641,Entire home/apt,95,4,132,1.27
